rowid,kepid,koi_disposition,koi_pdisposition
6104,6765563,CANDIDATE,CANDIDATE
6105,6766583,FALSE POSITIVE,FALSE POSITIVE
6106,6767337,FALSE POSITIVE,FALSE POSITIVE
6107,6776555,CANDIDATE,CANDIDATE
6108,2992634,CANDIDATE,CANDIDATE
6109,3001955,CANDIDATE,CANDIDATE
6110,3003673,FALSE POSITIVE,FALSE POSITIVE
6111,3101178,CANDIDATE,CANDIDATE
6112,3117115,FALSE POSITIVE,FALSE POSITIVE
6113,3120397,FALSE POSITIVE,FALSE POSITIVE
6114,3239171,CANDIDATE,CANDIDATE
6115,4761427,CANDIDATE,CANDIDATE
6116,4769799,FALSE POSITIVE,FALSE POSITIVE
6117,4770798,CANDIDATE,CANDIDATE
6118,4814168,FALSE POSITIVE,FALSE POSITIVE
6119,4815612,FALSE POSITIVE,FALSE POSITIVE
6120,4819158,FALSE POSITIVE,FALSE POSITIVE
6121,4833409,CANDIDATE,CANDIDATE
6122,5942112,FALSE POSITIVE,FALSE POSITIVE
6123,5946568,CANDIDATE,CANDIDATE
6124,5949765,FALSE POSITIVE,FALSE POSITIVE
6125,5954894,FALSE POSITIVE,FALSE POSITIVE
6126,5956038,FALSE POSITIVE,FALSE POSITIVE
6127,5963591,FALSE POSITIVE,FALSE POSITIVE
6128,5965629,CANDIDATE,CANDIDATE
6129,6934045,CANDIDATE,CANDIDATE
6130,6939913,FALSE POSITIVE,FALSE POSITIVE
6131,6947062,FALSE POSITIVE,FALSE POSITIVE
6132,6952570,FALSE POSITIVE,FALSE POSITIVE
6133,7009548,CANDIDATE,CANDIDATE
6134,7011044,FALSE POSITIVE,FALSE POSITIVE
6135,7013635,FALSE POSITIVE,FALSE POSITIVE
6136,3240049,FALSE POSITIVE,FALSE POSITIVE
6137,3242039,FALSE POSITIVE,FALSE POSITIVE
6138,3245638,FALSE POSITIVE,FALSE POSITIVE
6139,3329985,FALSE POSITIVE,FALSE POSITIVE
6140,3340165,CANDIDATE,CANDIDATE
6141,3341982,FALSE POSITIVE,FALSE POSITIVE
6142,3355104,FALSE POSITIVE,FALSE POSITIVE
6143,4840327,FALSE POSITIVE,FALSE POSITIVE
