rowid,kepid,koi_disposition,koi_pdisposition
5715,10544677,FALSE POSITIVE,FALSE POSITIVE
5716,7199883,FALSE POSITIVE,FALSE POSITIVE
5717,9904006,CANDIDATE,CANDIDATE
5718,8552587,FALSE POSITIVE,FALSE POSITIVE
5719,6019872,FALSE POSITIVE,FALSE POSITIVE
5720,7679812,CANDIDATE,CANDIDATE
5721,4864734,FALSE POSITIVE,FALSE POSITIVE
5722,8282846,CONFIRMED,CANDIDATE
5723,5938970,CONFIRMED,CANDIDATE
5724,8381693,FALSE POSITIVE,FALSE POSITIVE
5725,4929299,FALSE POSITIVE,FALSE POSITIVE
5726,7375348,CONFIRMED,CANDIDATE
5727,10223615,FALSE POSITIVE,FALSE POSITIVE
5728,3342463,FALSE POSITIVE,FALSE POSITIVE
5729,6680177,FALSE POSITIVE,FALSE POSITIVE
5730,5565497,FALSE POSITIVE,FALSE POSITIVE
5731,5730389,FALSE POSITIVE,FALSE POSITIVE
5732,5802478,FALSE POSITIVE,FALSE POSITIVE
5733,5942093,CANDIDATE,CANDIDATE
5734,5992270,CANDIDATE,CANDIDATE
5735,7117126,FALSE POSITIVE,FALSE POSITIVE
5736,4761060,FALSE POSITIVE,FALSE POSITIVE
5737,5479802,FALSE POSITIVE,FALSE POSITIVE
5738,5607631,FALSE POSITIVE,FALSE POSITIVE
5739,4951249,FALSE POSITIVE,FALSE POSITIVE
5740,3121340,FALSE POSITIVE,FALSE POSITIVE
5741,8636434,CONFIRMED,CANDIDATE
5742,5952366,FALSE POSITIVE,FALSE POSITIVE
5743,5952366,FALSE POSITIVE,FALSE POSITIVE
5744,6045250,FALSE POSITIVE,FALSE POSITIVE
5745,5598595,FALSE POSITIVE,FALSE POSITIVE
5746,6681233,FALSE POSITIVE,FALSE POSITIVE
5747,7296438,CANDIDATE,CANDIDATE
5748,7351237,FALSE POSITIVE,FALSE POSITIVE
5749,7436215,FALSE POSITIVE,FALSE POSITIVE
5750,9763754,FALSE POSITIVE,FALSE POSITIVE
5751,10216045,FALSE POSITIVE,FALSE POSITIVE
5752,8846163,FALSE POSITIVE,FALSE POSITIVE
5753,12366681,FALSE POSITIVE,FALSE POSITIVE
5754,1996399,FALSE POSITIVE,FALSE POSITIVE
5755,2697169,FALSE POSITIVE,FALSE POSITIVE
5756,8435247,CANDIDATE,CANDIDATE
5757,8332986,FALSE POSITIVE,FALSE POSITIVE
5758,9425139,CANDIDATE,CANDIDATE
5759,6364327,FALSE POSITIVE,FALSE POSITIVE
5760,6762829,FALSE POSITIVE,FALSE POSITIVE
5761,7369865,FALSE POSITIVE,FALSE POSITIVE
5762,7593110,FALSE POSITIVE,FALSE POSITIVE
5763,7810483,CANDIDATE,CANDIDATE
5764,7117147,FALSE POSITIVE,FALSE POSITIVE
5765,6634133,FALSE POSITIVE,FALSE POSITIVE
5766,7021534,FALSE POSITIVE,FALSE POSITIVE
5767,9277210,FALSE POSITIVE,FALSE POSITIVE
5768,9728465,FALSE POSITIVE,FALSE POSITIVE
